Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Amazon EC2,0,1593.79,19125.48,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t4g.2xlarge)"
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),Master Database,Amazon RDS for PostgreSQL,0,2139.96,25679.52,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (1), Instance Type (db.m4.4xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),Read Replica,Amazon RDS for PostgreSQL,0,2139.96,25679.52,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (1), Instance Type (db.m4.4xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,66.6,799.2,USD,Number of NAT Gateways (2)
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,1331.11,15973.32,USD,"DT Inbound: Internet (10 TB per month), DT Inbound: All other regions (10 TB per month), DT Outbound: Amazon CloudFront (10 TB per month), DT Outbound: Internet (10 TB per month), DT Outbound: All other regions (10 TB per month), DT Intra-Region: (10 TB per month), Data transfer cost (1331.11)"
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Application Load Balancer,0,114.77,1377.24,USD,Number of Application Load Balancers (2)
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,S3 Standard,0,235.61,2827.32,USD,S3 Standard storage (10 TB per month)
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Data Transfer,0,92.07,1104.84,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (10 GB per month), DT Outbound: Internet (1 TB per month)"
Udacity  Diagram Estimate > Diagram 1,EU (Ireland),,Amazon Virtual Private Cloud (VPC),0,71.04,852.48,USD,Number of NAT Gateways (2)
Udacity  Diagram Estimate > Diagram 1,EU (Ireland),,Amazon Virtual Private Cloud (VPC),0,1331.11,15973.32,USD,"DT Inbound: Internet (10 TB per month), DT Inbound: All other regions (10 TB per month), DT Outbound: Amazon CloudFront (10 TB per month), DT Outbound: Internet (10 TB per month), DT Outbound: All other regions (10 TB per month), DT Intra-Region: (10 TB per month), Data transfer cost (1331.11)"
Udacity  Diagram Estimate > Diagram 1,EU (Ireland),Read Replica,Amazon RDS for PostgreSQL,0,918.63,11023.56,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (1), Instance Type (db.t3.2xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Udacity  Diagram Estimate > Diagram 1,EU (Ireland),,Amazon EC2,0,1745.7,20948.4,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t4g.2xlarge)"
Udacity  Diagram Estimate > Diagram 1,EU (Ireland),Read Replica,Amazon RDS for PostgreSQL,0,2361.11,28333.32,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (1), Instance Type (db.m4.4xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),,Amazon Route 53,0,10.5,126,USD,Hosted Zones (1)
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),,AWS Lambda,0,245.13,2941.56,USD,Number of requests (10000000)
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),,Amazon Cognito,0,1544.25,18531,USD,"Advanced security features (Enabled), Number of monthly active users (MAU) (30000)"
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),,Amazon API Gateway,0,45,540,USD,"HTTP API requests units (millions), Average size of each request (34 KB), REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB), Requests (10 per month), Requests (10 per month)"
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),Main,DynamoDB on-demand capacity,0,303.75,3645,USD,"Average item size (all attributes) (20 KB), Data storage size (1000 GB)"
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),Main,DynamoDB Streams,0,2,24,USD,Number of DynamoDB Streams GetRecord API requests (10000000 per month)
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),Main,DynamoDB Backup and restore,0,2560,30720,USD,"On-demand backup data storage (10 TB), Table data restored (10 TB)"
Udacity  Diagram Estimate > Diagram 2 - Serverless,EU (Ireland),Backup,DynamoDB on-demand capacity,0,353.69,4244.28,USD,"Average item size (all attributes) (20 KB), Data storage size (1000 GB)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
"Since there was an increase in bugdet, I increased the speed and resilience of the system by adding infrastructure to another region EU Ireland. This is totally seperate with vpcs and database Multi-AZ read replicas. If there is a total region failure in the US East, our infratructure will continue to work smoothly and one of  the read replicas can be promoted to the master.",,,,,,,,
"For the serverless infrastructure, I added DynamoDB streams and a backup in EU Ireland.",,,,,,,,
