Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Amazon EC2,0,808.9,9706.80,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t4g.xlarge)"
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),Master Database,Amazon RDS for PostgreSQL,0,2139.96,25679.52,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (1), Instance Type (db.m4.4xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),Read Replica,Amazon RDS for PostgreSQL,0,2139.96,25679.52,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (1), Instance Type (db.m4.4xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,66.6,799.20,USD,Number of NAT Gateways (2)
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,767.9100000000001,9214.92,USD,"DT Inbound: Internet (10 TB per month), DT Inbound: All other regions (5 TB per month), DT Outbound: Amazon CloudFront (5 TB per month), DT Outbound: Internet (5 TB per month), DT Outbound: All other regions (5 TB per month), DT Intra-Region: (10 TB per month), Data transfer cost (767.9100000000001)"
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Application Load Balancer,0,114.77000000000001,1377.24,USD,Number of Application Load Balancers (2)
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,S3 Standard,0,235.61,2827.32,USD,S3 Standard storage (10 TB per month)
Udacity  Diagram Estimate > Diagram 1,US East (Ohio),,Data Transfer,0,92.07,1104.84,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (10 GB per month), DT Outbound: Internet (1 TB per month)"
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),,Amazon Route 53,0,10.5,126.00,USD,Hosted Zones (1)
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),,AWS Lambda,0,245.13,2941.56,USD,Number of requests (10000000)
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),,Amazon Cognito,0,1544.25,18531.00,USD,"Advanced security features (Enabled), Number of monthly active users (MAU) (30000)"
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),,Amazon API Gateway,0,45,540.00,USD,"HTTP API requests units (millions), Average size of each request (34 KB), REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB), Requests (10 per month), Requests (10 per month)"
Udacity  Diagram Estimate > Diagram 2 - Serverless,US East (Ohio),,DynamoDB on-demand capacity,0,29.75,357.00,USD,"Average item size (all attributes) (10 KB), Data storage size (10 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
